client_id,attrition_flag,months_on_book,products_num_held_by_client,inactive_months_in_last_year,contacts_in_last_year,average_open_to_buy_credit_line,total_transaction_amount_change_q4_q1,total_transaction_amount_last_year,total_transaction_count_last_year,total_trasaction_count_change_q4_q1,average_card_utilazation_ratio
708082083,Existing Customer,36,4,3,3,1883.0,0.831,15149.0,111,1,0.469
708083283,Attrited Customer,45,3,1,3,904.0,0.992,992.0,21,0,0.736
708084558,Attrited Customer,38,6,3,3,6487.0,0.0,1447.0,23,0,0.214
708085458,Existing Customer,24,6,2,2,1438.3,0.827,3940.0,82,1,0.0
708086958,Existing Customer,41,3,5,2,2379.0,0.598,4369.0,59,1,0.239
708095133,Existing Customer,34,5,2,2,31471.0,0.428,1448.0,29,0,0.055
708098133,Existing Customer,19,6,1,0,1416.0,1.458,1598.0,39,1,0.5
708099183,Existing Customer,36,4,2,2,3850.0,0.851,2732.0,63,1,0.327
708100533,Existing Customer,36,3,3,3,402.0,0.736,4943.0,85,1,0.85
708103608,Existing Customer,45,1,5,1,9381.0,0.745,15798.0,128,1,0.212
708104658,Existing Customer,36,4,3,2,548.3,1.143,2928.0,48,1,0.619
708108333,Attrited Customer,36,3,3,1,5590.0,0.01,1507.0,32,0,0.0
708112008,Existing Customer,36,4,2,3,22461.0,0.438,1661.0,35,0,0.045
708113208,Existing Customer,36,3,2,2,1688.0,0.641,4375.0,69,1,0.0
708117933,Attrited Customer,36,3,2,3,1880.0,0.519,2469.0,34,0,0.0
708119658,Existing Customer,38,4,2,1,11802.0,0.663,2519.0,53,0,0.081
708121908,Attrited Customer,36,2,3,2,22917.0,0.574,2045.0,45,1,0.0
708123033,Existing Customer,30,2,1,1,11463.0,0.908,14511.0,105,1,0.0
708125733,Existing Customer,36,4,3,1,1438.3,0.906,4311.0,77,1,0.0
708128733,Existing Customer,36,5,4,3,1814.0,0.852,5014.0,99,1,0.0
708129933,Existing Customer,36,5,3,2,528.0,0.903,4210.0,64,1,0.745
708132783,Existing Customer,42,6,2,2,15232.0,0.849,3929.0,71,1,0.072
708134283,Existing Customer,36,4,3,3,2502.0,0.749,1483.0,31,1,0.201
708136908,Existing Customer,53,5,2,2,1815.0,0.719,4655.0,68,1,0.306
708139833,Attrited Customer,30,4,2,3,6391.0,0.632,2323.0,44,0,0.0
708145908,Existing Customer,50,3,3,0,2721.0,0.66,3999.0,71,1,0.445
708147108,Existing Customer,36,6,1,3,18567.0,0.763,2309.0,71,1,0.119
708148158,Existing Customer,21,2,3,2,1827.0,0.563,4207.0,86,1,0.0
708151008,Existing Customer,41,5,1,2,5606.0,1.06,2433.0,41,1,0.103
708152358,Attrited Customer,36,1,3,2,16848.0,0.889,8019.0,57,1,0.09
708153558,Existing Customer,31,1,2,2,32714.0,0.871,7936.0,101,0,0.052
708154833,Attrited Customer,27,1,3,3,627.3,0.571,2336.0,46,0,0.564
708155733,Existing Customer,44,4,2,2,13100.0,0.989,1289.0,23,1,0.111
708158133,Attrited Customer,36,3,2,2,514.0,0.409,2188.0,50,0,0.83
708160008,Existing Customer,33,2,2,3,33458.0,0.734,7412.0,84,1,0.031
708161133,Existing Customer,32,5,1,2,5240.0,0.828,3891.0,69,1,0.21
708162558,Existing Customer,54,6,1,2,1258.0,0.715,1355.0,36,1,0.613
708163758,Existing Customer,33,2,4,3,33878.0,0.724,13085.0,139,1,0.018
708170508,Attrited Customer,36,2,3,2,1438.3,0.461,1651.0,42,1,0.0
708171858,Existing Customer,28,5,2,3,783.0,1.416,2607.0,44,2,0.58
708173433,Existing Customer,14,4,2,4,3321.0,0.655,2482.0,57,1,0.412
708174708,Existing Customer,27,6,2,4,4259.0,0.636,1764.0,38,1,0.231
708176208,Existing Customer,36,4,4,1,7268.0,0.691,4199.0,80,1,0.0
708177333,Existing Customer,36,5,3,0,8776.0,0.736,1158.0,26,1,0.221
708178608,Existing Customer,36,4,2,2,2488.0,1.05,4226.0,73,1,0.0
708185208,Existing Customer,16,4,1,2,2060.0,0.643,2010.0,31,1,0.352
708186933,Attrited Customer,36,4,3,2,1094.0,0.737,2254.0,45,0,0.399
708190158,Attrited Customer,26,2,3,0,494.0,0.983,2750.0,41,0,0.831
708193008,Existing Customer,30,3,3,4,14480.0,0.703,1616.0,43,1,0.0
708195633,Existing Customer,32,5,2,3,33334.0,0.613,2440.0,54,1,0.034
708197358,Attrited Customer,48,4,1,3,30279.0,0.882,7784.0,63,1,0.009
708204033,Existing Customer,24,3,1,1,887.0,0.522,4132.0,70,1,0.702
708205083,Existing Customer,28,6,4,3,1438.3,0.767,4815.0,81,1,0.0
708207783,Existing Customer,42,1,3,2,1477.0,0.685,4680.0,80,1,0.0
708208758,Existing Customer,45,6,3,2,943.0,0.953,2199.0,48,1,0.484
708211383,Existing Customer,27,3,3,3,2664.0,0.731,3906.0,74,1,0.0
708212658,Existing Customer,18,6,3,2,933.0,0.886,1799.0,47,1,0.575
708216108,Existing Customer,44,5,1,4,2531.0,1.248,2250.0,39,1,0.381
708217758,Existing Customer,49,5,2,3,11974.0,2.271,1606.0,30,2,0.147
708219108,Existing Customer,38,2,3,3,8816.0,0.661,7300.0,77,1,0.115
708219858,Existing Customer,26,6,3,2,6423.0,1.051,4295.0,70,1,0.0
708222558,Existing Customer,36,6,2,3,797.0,0.682,4191.0,77,1,0.655
708223383,Attrited Customer,39,6,3,4,10431.0,1.049,2736.0,38,0,0.086
708224133,Existing Customer,49,1,2,3,748.0,0.533,4431.0,71,1,0.664
708225483,Existing Customer,36,3,2,4,9681.0,0.829,4246.0,81,1,0.139
708226833,Existing Customer,44,1,6,3,33685.0,0.727,13247.0,107,1,0.024
708229308,Attrited Customer,41,5,2,2,3243.0,0.685,6059.0,71,1,0.0
708231183,Existing Customer,22,5,3,4,11629.0,0.856,2643.0,72,1,0.073
708234558,Existing Customer,43,5,2,1,899.0,0.658,4540.0,73,1,0.598
708238833,Existing Customer,36,6,2,3,817.0,0.408,1387.0,30,1,0.731
708241233,Attrited Customer,47,3,3,2,2972.0,1.035,922.0,25,1,0.0
708242283,Existing Customer,36,5,3,2,5346.0,0.928,3253.0,80,1,0.0
708243483,Existing Customer,43,4,2,5,13783.0,0.995,2248.0,51,1,0.077
708244458,Existing Customer,35,3,3,2,1276.0,0.712,3485.0,72,1,0.543
708245808,Existing Customer,36,4,1,4,18747.0,0.82,13908.0,124,1,0.047
708248358,Existing Customer,30,3,1,3,29937.0,0.746,14863.0,109,1,0.0
708249708,Existing Customer,39,3,3,3,3268.0,0.809,1489.0,48,1,0.325
708252108,Existing Customer,53,6,3,2,5455.0,0.693,4065.0,65,1,0.259
708253458,Existing Customer,48,4,2,3,3705.0,0.731,4857.0,81,1,0.33
708254733,Existing Customer,36,5,4,1,1095.0,1.11,5171.0,85,1,0.631
708255633,Existing Customer,27,3,2,4,2051.0,0.627,3240.0,65,1,0.455
708260208,Existing Customer,36,4,3,2,778.0,0.562,4321.0,76,1,0.622
708266883,Attrited Customer,36,1,2,3,1666.0,0.713,2312.0,35,0,0.0
708267858,Existing Customer,36,5,2,3,3943.0,1.371,2098.0,52,1,0.352
708269583,Existing Customer,28,6,2,4,652.0,0.838,4014.0,86,1,0.679
708271833,Existing Customer,36,3,2,3,13226.0,0.84,3464.0,67,1,0.122
708272808,Existing Customer,36,4,2,1,1244.0,0.71,3542.0,59,1,0.542
708273858,Existing Customer,30,3,2,1,34516.0,0.643,3734.0,80,1,0.0
708276183,Attrited Customer,45,2,4,1,1760.0,0.046,1554.0,35,0,0.0
708281433,Existing Customer,36,5,1,3,1438.3,0.565,3848.0,75,1,0.0
708285108,Existing Customer,36,1,1,2,3889.0,0.768,13505.0,116,1,0.365
708286683,Existing Customer,43,6,3,1,10296.0,0.736,4884.0,86,1,0.145
708288108,Attrited Customer,30,2,5,3,4092.0,1.087,647.0,15,0,0.274
708290208,Existing Customer,31,3,3,4,12418.0,0.553,3118.0,76,1,0.087
708291633,Existing Customer,21,3,3,3,2152.0,0.766,5097.0,79,1,0.537
708292833,Existing Customer,36,4,2,3,26139.0,0.641,2754.0,60,0,0.046
708295533,Existing Customer,56,5,3,2,1669.0,0.624,1215.0,22,1,0.53
708296883,Existing Customer,38,3,1,0,10961.0,0.688,1178.0,27,1,0.067
708298233,Attrited Customer,37,4,2,1,6184.0,0.476,1756.0,49,0,0.0
708300483,Attrited Customer,56,5,4,3,7277.0,1.052,704.0,16,0,0.077
708301683,Attrited Customer,30,6,2,3,19739.0,1.049,8038.0,90,1,0.051
708303108,Existing Customer,42,5,3,0,64.0,0.626,4940.0,94,1,0.964
708307533,Existing Customer,30,1,2,3,3086.0,0.808,4129.0,81,1,0.0
708313608,Existing Customer,43,5,3,0,348.0,0.744,2110.0,43,1,0.859
708314808,Existing Customer,41,5,1,3,4266.0,0.436,1570.0,40,1,0.246
708316008,Attrited Customer,36,3,2,3,10031.0,0.238,1792.0,29,0,0.0
